career_id,career_name,description,required_skills,education_required,average_salary,job_growth_rate,domain,job_role,challenges
144,Project Team Specialist - Overnight (Austin TX),Not Specified,"Merchandising, Planogram implementation, Fixture implementation, Product security devices, Display maintenance, Technology display implementation","Education:, High school diploma or equivalent",140100.00,0.05,Not Specified,,
145,"G Suite Strategic Cloud Engineer, Google Professional Services",Not Specified,"Python, Go, Cloud infrastructures, Email administration, Networking fundamentals, Enterprise directory administration, IT security practices",Not Specified,140100.00,0.05,Not Specified,,
146,Information Security Analyst,Not Specified,"Information Security, Network Analysis, Incident Response, Regulatory Compliance, IT Audit, Vulnerability Scanning, Security Information and Event Management (SIEM) technologies, Log Analysis, System Certification, Product Evaluations, Security Policy Development, Security Awareness Programs, Trend Analysis, Data Evaluation","Experience Related:, years of related experience in Information Security Operations or equivalent combination of education and experience.",140100.00,0.05,Not Specified,,
147,Sales Consultant - Comp,Not Specified,"Selling skills, Inventory management, Merchandising, Customer service, Sales strategies, Financial performance analysis","Related to Education:, No specific skills mentioned in the job description.",140100.00,0.05,Not Specified,,
148,"Data Protection Business Analyst, Info Protection & Gov, WW DSS",Not Specified,"Analytics, Data protection, Data and analytics roadmap development, Business dashboards, Security analysis, Privacy analysis, Risk analysis, Statistical/data visualization tools, Excel, Power BI, SQL, Microsoft BI/SQL stack, Data modeling, Metrics infrastructure development","Education:, BA/BS degree or equivalent",140100.00,0.05,Not Specified,,
149,"Director, Customer Service Product and Tools",Not Specified,"Technology strategy development, Leadership in technology platforms, Product ownership, Stakeholder collaboration, Development of technology standards, Technology performance evaluation, Continuous improvement in technology platforms, Team management and mentoring, Experience with customer service technology packages, Custom development experience, Knowledge of mobile trends and emerging technologies, Communication skills, Program management, Operational excellence, Experience with Salesforce Service Cloud, Vanilla, and Sprinklr",Not Specified,140100.00,0.05,Not Specified,,
150,"Data Analyst Modeler, VP",Not Specified,"Data Analysis, Project Management, Data Analytics and Visualization Tools, Data Governance, Master Data Management (MDM), Data Quality, Data Architecture, Data Integration, Data Dictionary, Database Design, Data Warehousing, Entity Hierarchies, Financial Data Analysis, Systems Development",Not Specified,140100.00,0.05,Not Specified,,
151,"VP of Technology, eCommerce",Not Specified,"eCommerce, Team leadership, Agile development, Full-stack development, Object-oriented design, Data warehousing, Cloud-based services, Technology team management","Skills Related to Education:, Vision, Aptitude for building innovative systems, Cross-platform knowledge with strong familiarity with both .NET and open source technology, Deep knowledge of current and emerging technologies, software development, and analysis",140100.00,0.05,Not Specified,,
152,Machine Learning Engineer,Not Specified,"Machine Learning, Data Science, Recommendation Systems, Information Retrieval, Natural Language Processing, Large Scale Systems, Distributed Systems, Java, C++, Scala, Python, Linux, Data Structures, Algorithms, Profiling/Optimization",Not Specified,140100.00,0.05,Not Specified,,
153,"Software Engineer, Deep Learning",Not Specified,"Computer Vision, Deep Learning, C++, Python","Education-Related Skills:, B.S. or M.S. in Computer Science, Applied Math or similar related field",140100.00,0.05,Not Specified,,
154,RESEARCH STUDY ASSISTANT,Not Specified,"Data entry, Data collection, Data organization, Research data verification, Literature review, Human subjects applications preparation, Consent forms preparation, Progress reports preparation, Inventory management, Knowledge of autism and early development, Microsoft Word proficiency, Microsoft Excel proficiency",Not Specified,140100.00,0.05,Not Specified,,
155,Enterprise Data Architecture,Not Specified,"Data architecture, Data modeling, Data science platforms, Hadoop, NoSQL databases (HBase, Neo4j, RDF), Data visualization platforms, SQL, Shell Scripts, R programming, Python programming, Big data technology stack","Education-Related Skills:, University degree in Technology, Business, or related field",140100.00,0.05,Not Specified,,
156,System Administrator SFO,Not Specified,"Server operations, NTFS file permissions, Server troubleshooting, Server Hardware, Server Software/operating systems, Basic network topology, Windows 7 and 10 operating systems, Call tracking applications, Customer service practices","Skills Related to Education:, Bachelor’s degree in Computer Science, BSc/BA in IT, Computer Science or relevant field",140100.00,0.05,Not Specified,,
157,"Software Program Manager, Cloud Services",Not Specified,"Cloud architecture, DevOps, Micro-service architecture, Program/project management, Agile software development, Software engineering, Web technologies, Mobile platforms, IaaS/PaaS, DevOps automation, SaaS platforms, Software test methodologies",Not Specified,140100.00,0.05,Not Specified,,
158,Database Architect,Not Specified,"Database Administration, SQL Server, Structured Query Language (SQL), SQL Server Analysis Services, SQL Server Reporting Services, SQL Server Integration Services, Microsoft Visual Studio Team Services (VSTS), Microsoft Azure IaaS/PaaS, CI/CD strategies, Data classification and protection, Database performance tuning, Cloud computing strategies",Not Specified,140100.00,0.05,Not Specified,,
159,Software Test Engineer,Not Specified,"Manual software unit testing, Test plan development, Test script writing, Traceability from requirements to test status, Automation testing tools, Structured programming (C/C++), Microsoft SQL Server, Agile software development, Team Foundation Server, Visual Studio Team Services, TestComplete, Microsoft Test Manager, Machine learning and artificial intelligence tools","Education-Related Skills:, BS/MS in Computer Science or equivalent degree",140100.00,0.05,Not Specified,,
160,Quality Manager,Not Specified,"APQP/PPAP/FMEA, Corrective Action, Statistical Process Control (SPC), Root Cause Analysis, Gauge R&R, Failure and test data analysis, Process Capability, Control, and Improvement, Supplier Auditing, Reliability Assurance, Internal Auditing, ISO9001:2008, TQM, Lean, Six Sigma, Electronics device design, Tier 1 & 2 automotive component manufacturing","Experience-Related Skills:, years of experience in quality management or equivalent combination of education and experience, Experience in electronics device design, Tier 1 & 2 automotive component manufacturing or similar fields",140100.00,0.05,Not Specified,,
161,Oracle Database Administrator,Not Specified,"Oracle DBA, Oracle 8i-12c, SQL queries, Stored procedures, Triggers, Views, Packages, Database security, Backup and recovery","Education-Related Skills:, Oracle Certified Associate (OCA)",140100.00,0.05,Not Specified,,
162,Learning Experience Manager,Not Specified,"Technical Skills (Education Related):, Bachelor's degree, K-12 education experience, Experience with student-centered pedagogies, Experience leading professional development programs, Curriculum development, Instructional coaching",Not Specified,140100.00,0.05,Not Specified,,
163,Employee Fraud Detection Risk Manager - Monitoring and Analytics,Not Specified,"Fraud rules development, Fraud analysis techniques, Data analytics, Microsoft Office applications, Actimize or similar system, SAS, SQL",Not Specified,140100.00,0.05,Not Specified,,
164,Data Scientist Intern,Not Specified,"Technical skills:, Machine learning techniques, Statistical analysis, Data mining, Data collection, Data cleansing, Data verification, Ad-hoc analysis, Automation of machine learning systems, Machine learning algorithms (e.g., k-NN, Naive Bayes, SVM), Data science toolkits (e.g., R, Scikit-learn, NumPy, Tensorflow), Data visualization tools (e.g., D3.js, GGplot), Query languages (e.g., SQL), NoSQL databases, Applied statistics, Scripting and programming (Python, Java)","Skills related to education:, B.S. or higher in Computer Science, Software Engineering, Information Science, Mathematics, Statistics, Electrical Engineering, Physics or related fields",140100.00,0.05,Not Specified,,
165,Operations Manager (Seattle) - JUMP,Not Specified,"Leadership, Problem Solving, Process Optimization, Project Management, Software Tools, Data/Analytics",Not Specified,140100.00,0.05,Not Specified,,
166,Admissions Consultant - Remote,Not Specified,"Sales, Recruiting, Database management, Customer service, Data gathering and entry","Related to Education:, Degree preferred for education or 4 years comparable experience in sales.",140100.00,0.05,Not Specified,,
167,SCADA Engineer,Not Specified,"Configuring SCADA hardware and software, Modifying PLCs and HMI applications, Performing factory functional testing, Developing and implementing solutions to resolve customer issues, Training customers on how to operate products and applications, Implementing standard engineering practices, Strong knowledge of VBA, Knowledge of computer hardware and network components, Strong understanding of networking essentials and Microsoft operating systems, Experience with industrial programming software packages","Education-Related Skills:, Bachelor’s Degree in Engineering or comparable",140100.00,0.05,Not Specified,,
168,"Business Services Analyst, HRPP",Not Specified,"Financial administration, Budget development, Cost recovery support, Financial monitoring, Expense reporting, Variance monitoring, Invoicing & payments, Compliance with federal regulations, Strategic budget development, Financial reporting, Purchasing, Reconciliations","Skills Related to Education:, Research ethics",140100.00,0.05,Not Specified,,
169,Senior Data Business Analyst,Not Specified,"Data analysis, Statistical modeling, Data manipulation, Data visualization, SQL, Tableau, Excel, HTML, JavaScript, SAP HANA, Understanding of relational databases",Not Specified,140100.00,0.05,Not Specified,,
170,Sales & Marketing Database Intern (Part-time),Not Specified,"Salesforce.com, Excel, Data Management, CRM Platform",Not Specified,140100.00,0.05,Not Specified,,
171,Clinical Research Data Manager 2,Not Specified,"Data Management, Clinical Trials, Research Conduct, Regulatory Compliance, Microsoft Word, Excel, Adobe Acrobat, Data Analysis, Medical/Clinical Terminology",Not Specified,140100.00,0.05,Not Specified,,
172,"Product Manager, Data & Analytics",Not Specified,"SQL, Kanban or Scrum, Product Design, Analytical tools/methodologies, Data Infrastructure",Not Specified,140100.00,0.05,Not Specified,,
173,Junior Medical Data Analyst,Not Specified,"Data Analysis, Excel, Database Management, Microsoft Office, Healthcare and Managed Care Terminology, Spreadsheet Management, Data Review",Not Specified,140100.00,0.05,Not Specified,,
174,Enterprise Architect,Not Specified,"Solution design, Implementation approach, Pre-sales, Post-sale, Project delivery, Solution architecture, Governance, Banking industry knowledge, Banking solutions, Communication skills, Presentation skills, Organizational skills",Not Specified,140100.00,0.05,Not Specified,,
175,"Analyst, Business Operations",Not Specified,"Data analysis, Configuration management, Process improvement, Root cause analysis, Business fundamentals, Technical background, Manufacturing processes, MS Excel, MS PowerPoint","Education-Related Skills:, Degree in Engineering, MS or MBA (a plus)",140100.00,0.05,Not Specified,,
176,AESP - Junior High General Clerical Class II-A,Not Specified,"Typing, Filing, Copying, Faxing, Minute-taking, Data compilation using Excel, Access, Google, and MDE websites",Not Specified,140100.00,0.05,Not Specified,,
177,Professional Services Architect,Not Specified,"Software implementations, Configuration, Integration, Troubleshooting, ERP integration, ETL/interface mapping, SQL, XML, File Transfer Protocols, ANSI X12, EDIFACT, JSON/JavaScript",Not Specified,140100.00,0.05,Not Specified,,
178,Machine Learning and Artificial Intelligence Senior Scientist,Not Specified,"Data Analytics, Machine Learning, Artificial Intelligence, Statistics, Research & Development, Robotics, Programming",Not Specified,140100.00,0.05,Not Specified,,
179,Infra Architect - Networking,Not Specified,"Network Architecting, Infra Architecting, Architecting, Network Data Architecting",None identified,140100.00,0.05,Not Specified,,
180,Quality Assurance Specialist,Not Specified,"Contract review, Technical data analysis, Communication skills, Risk management, Quality assurance, Supplier assessment, Pre-award surveys","Education-Related Skills:, Contract review, Technical data analysis, Quality assurance",140100.00,0.05,Not Specified,,
181,Solutions Architect,Not Specified,"Enterprise Architecture, Integration Practices, Operational Excellence, Project Management, Business Analytics, Cyber Security, Sales Skills, Networking",Not Specified,140100.00,0.05,Not Specified,,
182,Principal Administrative Specialist-NR,Not Specified,"Police Record/Dispatch, Public Safety, Law Enforcement, Criminal Justice, Minnesota Government Access (MGA), Minnesota Criminal History Records Maintenance (CHRMS), Minnesota Crash Reports (MnCrash), Minnesota Justice Information Systems (MNJIS), eCharging, eCitation, eWarrant, Minnesota Offense Coding, Uniform Crime Reporting, Records Management Systems (RMS), Computer Aided Dispatch (CAD), Zuercher/LETG, TriTech Public Safety suite of applications, Microsoft Office (MS Word, Excel, PowerPoint, Outlook)","Skills Related to Education:, Bachelor's Degree in relevant fields, Associate's Degree in relevant fields, High School Diploma/GED",140100.00,0.05,Not Specified,,
183,Director of Youth Hockey Operations,Not Specified,"Knowledge of USA Hockey rules and regulations, Management of league regulations, Statistical analysis (e.g., team rosters, player statistics), Experience with Sports Engine or similar platforms, Website management",Not Specified,140100.00,0.05,Not Specified,,
184,Purchasing/Inventory Control Administrator,Not Specified,"Purchasing, Inventory Control, Inventory Management, Supply Chain Management, Data Entry, Database Management, Inventory Analysis, Cost Negotiation, Vendor Management","Bachelor's degree in Supply Chain/Operations Management, Logistics, Business",140100.00,0.05,Not Specified,,
185,Full-Stack Developer,Not Specified,"LAMP stack, HTML5, CSS3, Sass/LESS, JavaScript/jQuery, Drupal, AWS, RackSpace, Wordpress, Git, Composer, Drush, GulpJS, AngularJS, KnockoutJS, BackboneJS, ReactJS, DurandalJS, Redis, Oracle, PostgreSQL, MongoDB, Nginx, IIS",Not Specified,140100.00,0.05,Not Specified,,
186,Full Stack Software Engineer,Not Specified,"Software design, Software development/configuration, Pair programming, Integration design and development, Performance tuning, Testing, Product monitoring, Automation, Configuration/modification, Dashboards and alerting, Commercial off the shelf solutions configuration, Scripting, Infrastructure monitoring, Service Level Objectives monitoring, Capacity monitoring, Modern software design, Scripting language (preferably JAVA), Web application frameworks (e.g., RUBY on Rails, Spring MVC, Node.js), Front-end technologies and frameworks (e.g., HTML, CSS, JavaScript, AngularJS, ReactJS, JQuery), SQL queries, Version control systems (preferably Git)",Not Specified,140100.00,0.05,Not Specified,,
187,Warehouse Worker,Not Specified,"Warehouse operations, Material handling equipment operation, Computerized warehouse systems, UPS shipments processing, Data input and record-keeping","Skills Related to Education:, High school diploma or GED required",140100.00,0.05,Not Specified,,
188,IT Systems Administrator,Not Specified,"Windows OS, Microsoft Active Directory, Office 365, Networking/Routing, VMWare, SANs, Checkpoint Firewalls, Newforma Project Center, Windows Server, Hyper-V, SharePoint, OS patch management, Data backup and recovery, System monitoring, Cyber security threat detection, System administration automation",Education: Microsoft Certified Systems Administrator (MCSA) Certification,140100.00,0.05,Not Specified,,
189,JOIN BLUR'S RECRUITING DATABASE!,Not Specified,"Artistic skills, Video editing, Reel creation","Education: Not specified, Experience: Not specified",140100.00,0.05,Not Specified,,
190,Cyber Information Systems Security Analyst 2,Not Specified,"Information Security, Networking, Compliance Audits, Vulnerability Assessments, Certification and Accreditation, Security Test and Evaluation (ST&E), Security Plans, Plan of Actions and Milestones (POA&M), Security Certifications (CAP, GSLC, Security+ CE), Special Access Programs (SAP/SAR)","Education-Related Skills:, Bachelor's Degree, Master's Degree, Current IAM DoD level 1 Security certification",140100.00,0.05,Not Specified,,
191,"Software Engineer - Full Stack, SF",Not Specified,"DevOps, Machine learning, Cloud-based development, Graph data analysis, Distributed computing, User interface development, Software development lifecycle (SDLC), Jupyter, TensorFlow, JavaScript, Microsoft SQL Server, Google Cloud Platform (GCP), Amazon Cloud Service, ReactJS, Node.js, MongoDB","Education-related skills:, Experience with specific technologies or platforms",140100.00,0.05,Not Specified,,
192,Data Scientist - Analytics Engineering,Not Specified,"Statistical Analysis, Machine Learning, Python, R, Pandas, Scikit-learn, Numpy, Scipy, TensorFlow, Spark, Data Visualization (Tableau), SQL, Data Warehousing, ETL, AWS Services (S3, RDS, Redshift)","Related to Education:, Advanced Degree in related quantitative fields or clear demonstration of 2-5 years of relevant experience",140100.00,0.05,Not Specified,,
193,Full Stack Engineer,Not Specified,"Python, React, PostgreSQL, Flask, AWS, HTML, CSS, JavaScript, MVC architectures, Ruby, SQL, RDBMS modeling/performance, Linux environment, Single Page Apps, Redux","Skills Related to Education:, Bachelors Degree in Computer Science",140100.00,0.05,Not Specified,,
194,Don't See an Exact Fit to Your Profile? Apply Here.,Not Specified,"G connectivity, K video, Augmented reality, Autonomous driving, Drone delivery, Inflight internet, Wireless network infrastructure, Broadband network infrastructure, Holographic Beam Forming (HBF), Electromagnetic physics, Software-defined antenna technology, Capacity and spectral efficiency, Patented antenna technology, Wireless access challenges, Artificial intelligence, Machine learning","Education:, Degrees in engineering, computer science, or related fields",140100.00,0.05,Not Specified,,
195,Data Analyst - SCPA Administration,Not Specified,"HIPAA compliance, Data input, Problem-solving, Electronic Health Records, MS Office, ICD-9 and ICD-10, Medical terminology, Multi-tasking, Electronic Patient Management systems, Knowledge of community resources, Clinical education programs, Care planning","Education-related Skills:, High School Graduate or equivalent, Accredited Community Health Worker Program completion, Some college credits (preferred), Experience in a fast-paced healthcare environment (preferred)",140100.00,0.05,Not Specified,,
196,Maintenance Worker 056010,Not Specified,"Carpentry, Plumbing, Pneumatic system maintenance, Automated dispensing system repair, Electrical/mechanical system monitoring, Vehicle maintenance, Building maintenance, Inventory database maintenance",Not Specified,140100.00,0.05,Not Specified,,
197,Product Data Management Specialist - Entry Level,Not Specified,"Corrective action process, Problem reporting system, Change Control Board, SCM processes, File management, Version control, Data upload and management, Document maintenance, Database proficiency","Skills related to Education:, AA Degree in related discipline",140100.00,0.05,Not Specified,,
198,Database Administrator (DBA),Not Specified,"MS SQL Server database installation and maintenance, SQL programming and stored procedure development, Database backup and recovery procedures, Data validation, Automation scripting, Database security, Database management and system upgrades, Data storage and retrieval technologies, Technical support for mail processing system, SSRS reporting, PowerShell",Education: Bachelor's degree from a four-year college or university,140100.00,0.05,Not Specified,,
199,"Game Data Analyst, Monetization",Not Specified,"Data analysis, Project management, Database querying, Schema drafting, ETL process, Documentation, Tableau, Looker, Python, SQL, Data mining",Not Specified,140100.00,0.05,Not Specified,,
200,Business Analytics Specialist,Not Specified,"Analytical skills, Data visualization, Storytelling techniques, Tools and analytical techniques, Microsoft Excel (pivot tables, lookups, graphing, charting functionality), Power BI",Not Specified,140100.00,0.05,Not Specified,,
201,Recruiter,Not Specified,"Full-cycle recruiting, Candidate evaluation, Interview process management, Offer negotiation, Customer relationship management, Analytical skills, Data-driven approach, Strong communication skills",Not Specified,140100.00,0.05,Not Specified,,
202,Director of Operations,Not Specified,"Test Operations, Root Cause Failure Analysis, Hardware/Software Design Change, Failure Analysis, Continuous Improvement, ECO Implementation, ESD Regulations, Test Efficiency, Quality Assurance",Not Specified,140100.00,0.05,Not Specified,,
203,Digital Media Analyst,Not Specified,"Marketing analytics, Direct response digital media, Metrics analysis, Budgeting, Online to offline attribution, Multi-touch attribution, Media mix modeling, Optimization techniques, Testing strategies (A/B, multivariate), SEM/Paid Search, Social Media, Display/Digital Media, Data analysis, Data visualization, Excel (vlookups, pivot tables, graphs, formulas), Tableau, Spotfire, Domo, Microsoft BI, Google Analytics",Not Specified,140100.00,0.05,Not Specified,,
204,"Director, Analytics & Data Operations",Not Specified,"Salesforce Einstein Analytics, SQL, Tableau, Looker, Qlik, Business Intelligence/Analytics",Not Specified,140100.00,0.05,Not Specified,,
205,Microservices Architect,Not Specified,"Application Architecture, Microservices solutions, Client management, Solution architecture, Cloud/DevOps environment, APIs, PaaS environment, Bluemix, AWS, Azure, Agile methodology","Education-Related Skills:, Application Architecture, Microservices solutions",140100.00,0.05,Not Specified,,
206,Deep Learning Computer Architect,Not Specified,"Machine Learning, Deep Neural Networks, DNN Training Frameworks (Caffe, TensorFlow, Torch), Numerical Analysis, Performance Analysis and Optimization, Computer Architecture, C++, Python, GPU Computing (CUDA, OpenCL, OpenACC), HPC (MPI, OpenMP)",Not Specified,140100.00,0.05,Not Specified,,
207,"Chrome Browser Customer Engineer, Google Cloud",Not Specified,"Architecting, deploying, and operating mid-to-large scale enterprise end-point computing solutions, Device management and application solutions (e.g. Windows GPO/AD), Experience with end-user compute IT administration (Windows, Mac, Linux, virtualized environments), User directory services (Active Directory) and Identity Management (SSO, SAML), Device management applications (JAMF, EMM solutions like Intune/AirWatch), Application packaging and deployment technologies (SCCM, Landesk), Creating technical collateral and demo videos, Building Proof of Concept environments",Not Specified,140100.00,0.05,Not Specified,,
208,"Data Analyst, Stitcher",Not Specified,"SQL, Python, Data pipeline systems, Information visualization tools, Multimedia data systems, BI & reporting dashboards","Education:, Bachelor of Science in computer science, engineering, math or statistics or equivalent experience",140100.00,0.05,Not Specified,,
209,UC Helpdesk Level 1,Not Specified,"Basic understanding of Cisco Unified Communications Manager/Unity Connection/Contact Center Express applications, Understanding of TCP/IP and OSI models, Knowledge of IPv4 and IPv6, Familiarity with remote access tools like Telnet, SSH, VNC, RDP, Ability to use network monitoring tools, Proficiency in capturing trace files, debugs, sniffers, etc., Familiarity with Cisco troubleshooting documentation and tools like Bug Search/Product Compatibility Matrix/License Management tool","Skills Related to Education:, Cisco Certified Network Associate (CCNA) Voice certification, CompTIA A+ certification (preferred), Microsoft Certified Professional (MCP) certification (preferred)",140100.00,0.05,Not Specified,,
210,"Info Security Engineer 5: Security Content Development Data Quality
Engineering",Not Specified,"Splunk, Regular Expression (regex), Information Security, Security Information and Event Management (SIEM) products, Data security controls, Linux, UNIX, Windows server operating systems, Information Security Tools Development, SDLC (System Development Life Cycle), Web application security vulnerability detection and mitigation, Application security planning and security architecture, Cyber threat management capabilities and functions, Banking or financial services industry, Networking Protocols: TCP/IP, UDP, Database platforms: MS SQL, Oracle, MySQL, YARA and Snort signature, Scripting languages: WMI, SQL, VBScript, Python",Not Specified,140100.00,0.05,Not Specified,,
211,IT Contract Administrator II - Information Management Division,Not Specified,"Contract administration, Contract negotiation, Compliance monitoring, Policy development, Financial analysis, Legal document preparation",Not Specified,140100.00,0.05,Not Specified,,
212,Data Architect,Not Specified,"Data architecture, Data warehousing, Data standards, Data dictionary, Database engineering, Technology vision, Technical specifications, SQL, SSIS, Mongo DB, Microsoft SQL Server, ERD design",Not Specified,140100.00,0.05,Not Specified,,
213,Audit Manager - Phoenix,Not Specified,"Audit, Accounting, Budgeting, Data interrogation, Data analysis, Process flow automation, Artificial intelligence, Advanced analytics, Accounting tools and technology","Skills Related to Education:, Bachelor’s degree in accounting or related field, Certified Public Accountant (CPA) certification, Advanced degree in accounting or related field",140100.00,0.05,Not Specified,,
214,Clinical Data Manager,Not Specified,"Data management, Clinical data review, Data auditing, Database design, Data analysis, Data validation, Test data development, User acceptance testing, Logic checks design","Education-related:, BA/BS degree in biological sciences or related disciplines",140100.00,0.05,Not Specified,,
215,Software Engineer - Big Data/Spark/Kafka,Not Specified,"Big Data, Hadoop, Java, Open Source Software, Enterprise Software Design, Data Services, Middleware, Hadoop HDFS, Hive, Spark, Kafka Streaming, Impala, Cassandra",Not Specified,140100.00,0.05,Not Specified,,
216,Communications Architect,Not Specified,"Microsoft Skype for Business, Unified Communications, Video bridging solutions, Office 365, Active Directory, PowerShell Scripting, Lync troubleshooting, Log analysis",None identified,140100.00,0.05,Not Specified,,
217,Warehouse Manager,Not Specified,"Warehouse management, Transportation operations, Financial analysis, Inventory control, Sanitation management, Performance management, Organizational skills","Education-Related Skills:, High school diploma or GED, Associate’s degree preferred",140100.00,0.05,Not Specified,,
218,Cloud IoT Architect,Not Specified,"Data pipelines, Big data placement and processing frameworks, Hot path data processing, Scalable solutions for data storage and processing, Connecting big data with neural network systems, Data analytics, IoT streaming data processing, Azure or AWS cloud systems, Spark, Neural Networks, C/C++, Python, Java, R, Spark, Storm, NoSQL, Hadoop/HBase","Skills related to education:, Masters or PhD in Computer Science, preferably with a focus on data science/AI",140100.00,0.05,Not Specified,,
219,Director of Facilities,Not Specified,"Real Estate Strategy, Lease Management, Project Management, Vendor Management, Budgeting, Building Maintenance, Safety and Security Systems, RFP/RFI Process, Compliance with Regulations",Not Specified,140100.00,0.05,Not Specified,,
220,Senior Systems Administrator,Not Specified,"Red Hat Enterprise Linux and Suse Linux administration, Enterprise cluster applications, DNS, Sendmail, Bind, SSH, TCP/IP, and NFS, Enterprise class storage systems and Netapp filers, Perl and Shell scripting, Change control procedures, Configuration management tools (Puppet, Chef, CFengine), Storage array networks, Veritas VXFS, VXVM, and Cluster, NFS and NetApp hardware","Education:, Not specified",140100.00,0.05,Not Specified,,
221,Quality Assurance Manager,Not Specified,"QA methodology and tools, Automation strategy, Troubleshooting, Networking concepts, Performance benchmarking, Machine Learning, Computer Vision, Audio/video data streaming, Test case creation, Data analysis, Risk evaluation, Root cause analysis, Device interoperability testing",Not Specified,140100.00,0.05,Not Specified,,
222,Maria Goeppert Mayer Fellowship,Not Specified,"Scientific Research, Engineering Research, Quantum Information Sciences, Artificial Intelligence, STEM Disciplines, Basic and Applied Research, Research Proposal Writing, Research Project Planning","Doctoral Degree, Academic Achievements, Graduate Transcripts",140100.00,0.05,Not Specified,,
223,IT Software Engineer Consultant,Not Specified,"Cerner EMR, CCL, Programming, Testing, Change Control, Project Planning",Not Specified,140100.00,0.05,Not Specified,,
224,Systems Integration Engr II,Not Specified,"HL7, Java, JavaScript, NT Scripts, Microsoft SQL, TCP/IP, Windows Server, Visio, Visual Basic, HTML, XML","Skills Related to Education:, Bachelor's degree in Information Technology, Computer Science, Business Administration or Management",140100.00,0.05,Not Specified,,
225,"Operations Supervisor, Production Facilities (Day Shift)",Not Specified,"Operations Management, Policy Formulation, Resource Planning, Training and Development, Problem Solving, Data Analysis, Incident Management, Task Execution Verification, Performance Measurement","Skills Related to Education:, years of college/technical school or equivalent work experience, Knowledge in Personal Protective Equipment (PPE), Lock/Out-Tag/Out (LOTO) Protocol, Computer Literacy",140100.00,0.05,Not Specified,,
226,Shop Clerk,Not Specified,"Microsoft Outlook, Microsoft Word, Microsoft Excel, Microsoft Access, Microsoft PowerPoint","High School Diploma or equivalent, Associates or Bachelors degree preferred",140100.00,0.05,Not Specified,,
227,Cloud Consultant,Not Specified,"Cloud Computing, DevOps, Architecture Design, Application Development, Amazon Web Services (AWS), Microsoft Azure, Google Cloud, Automated Deployments, Agile Methodology",Not Specified,140100.00,0.05,Not Specified,,
228,"Associate Director, Data Scientist (Information Architecture)",Not Specified,"Data Architecture, Big Data, Customer Journey Analytics, ETL, Data Modeling, Data Analysis, Data Quality Management, Data Enrichment, SQL, Lean Six Sigma",Not Specified,140100.00,0.05,Not Specified,,
229,Network Engineer Intern,Not Specified,"LAN/WAN, Route/Switch, Data Center, Virtualization, Cloud Implementation, Microsoft Technologies, Cisco Technologies, EMC Technologies, NetApp Technologies","Skills Related to Education:, Major in Computer or Networking field, Computer Science, Electrical Engineering, Computer Engineering, Management Information Systems",140100.00,0.05,Not Specified,,
230,"Business Intelligence Financial Analyst, Sr.",Not Specified,"Financial statement analytics, Budgeting and forecasting, Business plan development, Business optimization projects, Data analysis, Financial planning, Healthcare experience",Not Specified,140100.00,0.05,Not Specified,,
231,Cloud Engineer,Not Specified,"Cloud Model Engineering, Software Development, Application Design, Performance Review, Troubleshooting, System Documentation, Infrastructure Support, Operating Systems Management, Virtualization, Quality Control, Testing, Technology Evaluation, Technology Leadership",Not Specified,140100.00,0.05,Not Specified,,
232,Technical Domain Architect,Not Specified,"Systems/Network Architecture, IT Service Management, Network Architecture, System Architecture, DevOps, Cloud Computing, Network, Application, and Systems Engineering, Planning and Managing IT Enterprise Architecture Frameworks, IT Infrastructure Library (ITIL), IT Strategic Planning",Not Specified,140100.00,0.05,Not Specified,,
233,"Project Employee, NBA G League Statistics",Not Specified,"Basketball knowledge, Basketball statistics, Data management, Database management, Proficiency in MS Word, Excel, & PowerPoint",Bachelor's degree required,140100.00,0.05,Not Specified,,
234,"Client Solutions Manager, Seattle",Not Specified,"Marketing Solutions, Data Analysis, Marketing Strategy, Media Planning, Measurement Metrics, Relationship Management, Project Management, Digital Media Platforms, Data Analysis in Excel, Problem Solving, Decision Making, Presentation Skills, SQL, Statistical Analysis, Ad Technology",Not Specified,140100.00,0.05,Not Specified,,
235,Sr. Data Engineer,Not Specified,"C, NET Framework, Microsoft SQL Server, Developing software routines, Database design, Yield improvement engineering, Design engineering, Product engineering, Data analysis, NET library","Education-Related Skills:, BS/BA in a relevant field",140100.00,0.05,Not Specified,,
236,Database Management Specialist ASU,Not Specified,"Database Administration, Website Administration, Database Management, User Training Development","Education-Related Skills:, Bachelor's Degree (in relevant field)",140100.00,0.05,Not Specified,,
237,Onsite Customer Service Admin (Google),Not Specified,Freight Forwarding 2. Import/Export Services 3. International Ocean and Air Freight Forwarding 4. Customs Brokerage 5. Supply Chain Management 6. Account Management 7. Customer Service 8. Logistics 9. Regulatory Compliance 10. Data Analysis 11. Standard Operating Procedures (SOPs) 12. Key Performance Indicators (KPIs) 13. Service Quality Indicators (SQIs),Education-Related Skills: Bachelor's degree/equivalent,140100.00,0.05,Not Specified,,
238,Business Intelligence Analyst,Not Specified,"Tableau, Excel, Data warehouse, Star and snowflake schemas, SQL, AWS Services, Kinesis, Lambda, Alteryx, Data dashboards, SPSS",Not Specified,140100.00,0.05,Not Specified,,
239,Social Media Content Analyst,Not Specified,"JavaScript, jQuery, Web Development, Mobile Ad Development, Ad Development Tools, Animation Design, Image Galleries, Internet/Intranet Pages Development","Education-related Skills:, Graduate",140100.00,0.05,Not Specified,,
